Date,ma30_50_signal,ma30_200_signal,ma50_200_signal,obv_signal,macd_signal,adx_signal,stoch_signal,roc_signal,rsi_signal,cci_signal,atr_signal,wpr_signal,bb_signal,cdc_signal,sar_signal,close_price,adj_close_price
2018-01-03,-1,-1,-1,1,0,0,0,0,0,0,-1,0,0,-1.0,1,8.300000190734863,6.889939785003662
2018-01-04,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.0,0,8.300000190734863,6.889939785003662
2018-01-05,0,0,0,-1,0,0,0,0,0,0,0,1,-1,-1.0,-1,8.25,6.848433017730713
2018-01-08,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.0,0,8.300000190734863,6.889939785003662
2018-01-09,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0.5,0,8.449999809265137,7.014456272125244
2018-01-10,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1.0,0,8.350000381469727,6.931445598602295
2018-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,8.350000381469727,6.931445598602295
2018-01-12,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,8.399999618530273,6.972949504852295
2018-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,8.399999618530273,6.972949504852295
2018-01-16,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0,8.449999809265137,7.014456272125244
2018-01-17,0,0,0,-1,0,0,0,0,0,0,0,0,0,1.0,0,8.399999618530273,6.972949504852295
2018-01-18,0,0,0,0,0,0,0,-1,0,1,0,1,0,-0.5,1,8.199999809265137,6.943314075469971
2018-01-19,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.5,0,8.199999809265137,6.943314075469971
2018-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,8.199999809265137,6.943314075469971
2018-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,8.149999618530273,6.900976657867432
2018-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,8.149999618530273,6.900976657867432
2018-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,8.050000190734863,6.816302299499512
2018-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,8.050000190734863,6.816302299499512
2018-01-29,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,8.100000381469727,6.858640670776367
2018-01-30,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1.0,0,8.050000190734863,6.816302299499512
2018-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,8.050000190734863,6.816302299499512
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,7.949999809265137,6.73162841796875
2018-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1,8.050000190734863,6.816302299499512
2018-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,1,8.0,6.773964881896973
2018-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,7.849999904632568,6.646952152252197
2018-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,7.900000095367432,6.689291000366211
2018-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,7.900000095367432,6.689291000366211
2018-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,7.849999904632568,6.646952152252197
2018-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1,8.0,6.773964881896973
2018-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,7.900000095367432,6.689291000366211
2018-02-14,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1.0,0,8.0,6.773964881896973
2018-02-15,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,8.0,6.773964881896973
2018-02-16,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0.5,0,8.100000381469727,6.858640670776367
2018-02-19,0,0,0,1,1,0,0,0,0,0,0,0,0,0.5,0,8.149999618530273,6.900976657867432
2018-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,8.149999618530273,6.900976657867432
2018-02-21,0,0,0,-1,0,0,0,0,0,0,0,0,0,0.5,1,8.100000381469727,6.858640670776367
2018-02-22,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,8.149999618530273,6.900976657867432
2018-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-1,8.149999618530273,6.900976657867432
2018-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,8.199999809265137,6.943314075469971
