,ma30_50_signal,ma30_200_signal,ma50_200_signal,Obv_signal,sma100_signal,macd_signal,adx_signal,stoch_signal,roc_signal,rsi_signal,cci_signal,atr_signal,wpr_signal,bb_signal,Close
70,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,101.91000366210938
71,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,103.36000061035156
72,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,104.83000183105469
73,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,106.02999877929688
74,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,106.11000061035156
75,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,106.79000091552734
76,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,106.44000244140625
77,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,105.8499984741211
78,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,103.52999877929688
79,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,103.51000213623047
80,0,0,0,0,1,0,0,0,0,0,-1,1,-1,0,109.55000305175781
81,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,111.62999725341797
82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,111.5999984741211
83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,112.33999633789062
84,0,0,0,0,1,0,0,0,0,0,0,0,0,0,112.16000366210938
85,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,110.61000061035156
86,0,0,0,1,1,0,0,0,0,0,0,0,0,1,111.58000183105469
87,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,111.33999633789062
88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,111.2300033569336
89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,112.72000122070312
90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,111.9000015258789
91,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,110.47000122070312
92,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,108.2300033569336
93,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,108.87000274658203
94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,109.69000244140625
95,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,108.4000015258789
96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,110.13999938964844
97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,110.55999755859375
98,0,0,0,1,1,0,0,-1,0,0,0,0,0,0,110.93000030517578
99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,111.41999816894531
100,1,0,0,0,1,1,0,0,0,0,0,0,0,0,111.18000030517578
101,0,0,0,0,1,0,0,0,1,0,-1,0,0,0,112.81999969482422
102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,112.61000061035156
103,0,0,0,0,1,0,0,0,0,0,0,0,0,0,113.94000244140625
104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,114.72000122070312
105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,115.11000061035156
106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,115.79000091552734
107,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,118.04000091552734
